endpoint,lat,lon,country,continent,city,org
http://cdrewu.eagle-i.net/sparqler/sparql,32.3895,-89.9562,United States,North America,Brandon,Ventrure Technologies - JAN LAN
http://chemdb.semweb.csdb.cn/sparql,39.1488,117.1762,China,Asia,Tianjin,
http://clara.univ-nantes.fr/sparql,47.2145,-1.5512,France,Europe,Nantes,Universite de Nantes
http://clinicaltrials.bio2rdf.org/sparql,50.8268,5.7116,The Netherlands,Europe,Maastricht,Universiteit Maastricht
http://colil.dbcls.jp/sparql,35.6916,139.768,Japan,Asia,Chiyoda,
http://collection.britishmuseum.org/Sparql,51.5153,-0.10931,United Kingdom,Europe,London,Jisc Services Limited
http://collection.britishmuseum.org/sparql,51.5153,-0.10931,United Kingdom,Europe,London,Jisc Services Limited
http://commons.dbpedia.org/sparql,52.3826,13.0934,Germany,Europe,Potsdam,UNI Potsdam
http://core.kmi.open.ac.uk/squery,52.0361,-0.7006,United Kingdom,Europe,Milton Keynes,Open University
http://cr.eionet.europa.eu/sparql,56.0843,12.1451,Denmark,Europe,Vejby,European Environment Agency
http://crtm.linkeddata.es/sparql,40.3765,-3.7592,Spain,Europe,Madrid,UPM
http://cs.dbpedia.org/sparql,50.7748,14.9508,Czechia,Europe,Liberec,"University of Economics, Prague"
http://ct-linkdata.aegean.gr/gcam/sparql,39.0974,26.5463,Greece,Europe,Mytilene,
http://ctd.bio2rdf.org/sparql,50.8268,5.7116,The Netherlands,Europe,Maastricht,Universiteit Maastricht
http://cultura.linkeddata.es/sparql,40.43,-3.6691,Spain,Europe,Madrid,UPM
http://d2kab.i3s.unice.fr/sparql,43.5866,7.1242,France,Europe,Antibes,Universite de Nice
http://dartmouth.eagle-i.net/sparqler/sparql,43.7019,-72.2827,United States,North America,Hanover,Dartmouth College
http://data.aalto.fi/sparql,62.8357,27.6763,Finland,Europe,Kuopio,Cloud services
http://data.allie.dbcls.jp/sparql,35.6916,139.768,Japan,Asia,Chiyoda,
http://data.archaeologydataservice.ac.uk/sparql/repositories/archives,53.9573,-1.0837,United Kingdom,Europe,York,University of York
http://data.archiveshub.ac.uk/sparql,53.3498,-6.26031,Ireland,Europe,Dublin,AWS EC2 (eu-west-1)
http://data.bib.uni-mannheim.de/sparql,47.9863,8.819,Germany,Europe,Tuttlingen,Universitaet Mannheim
http://data.bibliotheken.nl/sparql,53.2567,6.45972,The Netherlands,Europe,Aduard,Wirewizard Management BV
http://data.bnf.fr/sparql,48.8323,2.4075,France,Europe,Paris,BNF
http://data.cervantesvirtual.com/bvmc-lod/repositories/data,37.5599,-1.8075,Spain,Europe,Puerto Lumbreras,Asac Comunicaciones S.L.
http://data.cervantesvirtual.com/openrdf-sesame/repositories/data,37.5599,-1.8075,Spain,Europe,Puerto Lumbreras,Asac Comunicaciones S.L.
http://data.cervantesvirtual.com/sparql,37.5599,-1.8075,Spain,Europe,Puerto Lumbreras,Asac Comunicaciones S.L.
http://data.cnr.it/sparql-proxy,41.8904,12.5126,Italy,Europe,Rome,Consiglio Nazionale delle Ricerche
http://data.consilium.europa.eu/sparql,50.8344,4.368,Belgium,Europe,Brussels,"Council of the EU, General Secretariat"
http://data.culture.fr/thesaurus/sparql,48.9105,2.36801,France,Europe,Aubervilliers,Ministere de la Culture
http://data.digitalculture.tw/taichung/sparql,48.1446,11.5895,Germany,Europe,Munich,TEAM-INTERNET
http://data.doremus.org/sparql,43.6319,7.0043,France,Europe,Valbonne,Eurecom Sophia
http://data.europa.eu/euodp/sparqlep,43.2965,5.36978,France,Europe,Marseille,AWS CloudFront (GLOBAL)
http://data.fondazionezeri.unibo.it/sparql/,44.2251,12.047,Italy,Europe,Forlì,Alma Mater Studiorum Universita' di Bologna
http://data.fundacionctic.org/sparql,43.3549,-5.8529,Spain,Europe,Oviedo,
http://data.hnm.hu/sparql,47.5636,19.0947,Hungary,Europe,Budapest,
http://data.legilux.public.lu/sparql,49.6113,6.1294,Luxembourg,Europe,Luxembourg,Public Services
http://data.lenka.no/sparql,59.8348,10.4277,Norway,Europe,Asker,Nextgentel
http://data.lider-project.eu/usage/sparql,40.43,-3.6691,Spain,Europe,Madrid,UPM
http://data.linkededucation.org/request/lak-conference/sparql,52.3872,9.7054,Germany,Europe,Hanover,UNI Hannover
http://data.linkedmdb.org/sparql,43.6387,-79.4262,Canada,North America,Toronto,Tucows.com Co
http://data.logainm.ie/sparql,53.3598,-6.4905,Ireland,Europe,Leixlip,Trinity College Dublin
http://data.mimo-db.eu/sparql,48.855,2.4836,France,Europe,Fontenay-sous-Bois,Cite Musique Paris
http://data.nobelprize.org/,60.342,25.0293,Finland,Europe,Tuusula,Hetzner Online GmbH
http://data.nobelprize.org/sparql,60.342,25.0293,Finland,Europe,Tuusula,Hetzner Online GmbH
http://data.oceandrilling.org/sparql,43.6532,-79.3832,Canada,North America,Toronto,"Cloudflare, Inc."
http://data.odw.tw/sparql,25.0104,121.4684,Taiwan,Asia,Banqiao,
http://data.open.ac.uk/query,52.0361,-0.7006,United Kingdom,Europe,Milton Keynes,Open University
http://data.ordnancesurvey.co.uk/datasets/os-linked-data/apis/sparql,40.7128,-74.006,United States,North America,New York,"Defense.Net, Inc"
http://data.ox.ac.uk/sparql,51.7665,-1.2829,United Kingdom,Europe,Oxford,Oxford University
http://data.persee.fr/explorer/sparql-endpoint,45.748,4.85,France,Europe,Lyon,Ecole Normale Superieure De Lyon
http://data.persee.fr/sparql,45.748,4.85,France,Europe,Lyon,Ecole Normale Superieure De Lyon
http://data.plan4all.eu/sparql,50.0883,14.4124,Czechia,Europe,Prague,Lesprojekt sluby s.r.o.
http://data.rism.info/sparql,48.1663,11.5683,Germany,Europe,Munich,LRZ-MUNICH
http://data.semanticweb.org/sparql,53.2689,-9.0533,Ireland,Europe,Galway,University College
http://data.szepmuveszeti.hu/sparql,47.5636,19.0947,Hungary,Europe,Budapest,
http://data.utpl.edu.ec/ecuadorresearch/lod/sparql,-3.9909,-79.202,Ecuador,South America,Loja,Universidad Tecnica Particular de Loja
http://data.utpl.edu.ec/utpl/lod/sparql,-3.9909,-79.202,Ecuador,South America,Loja,Universidad Tecnica Particular de Loja
http://dati.beniculturali.it/sparql,41.8904,12.5126,Italy,Europe,Rome,Vodafone
http://dati.camera.it/sparql,41.8904,12.5126,Italy,Europe,Rome,Camera dei deputati
http://dati.isprambiente.it/sparql,41.8904,12.5126,Italy,Europe,Rome,Istituto Superiore per la protezione e la ricerca ambientale
http://dati.senato.it/sparql,43.2965,5.36978,France,Europe,Marseille,AWS CloudFront (GLOBAL)
http://datos.artium.org/sparql,40.4272,-3.71347,Spain,Europe,Madrid,OVH Hispano
http://datos.bcn.cl/sparql,-33.0479,-71.6055,Chile,South America,Valparaíso,Congreso Nacional
http://datos.bne.es/sparql,40.4519,-3.711,Spain,Europe,Madrid,BNE
http://db.artsdata.ca/repositories/artsdata,43.6532,-79.3832,Canada,North America,Toronto,AWS EC2 (ca-central-1)
http://dbkwik.webdatacommons.org/sparql,49.4922,8.464,Germany,Europe,Mannheim,UNI-MANNHEIM
http://dblp.l3s.de/d2r/sparql,52.3872,9.7054,Germany,Europe,Hanover,UNI Hannover
http://dbpedia-live.openlinksw.com/sparql,52.3667,4.89454,The Netherlands,Europe,Amsterdam,OpenLink Group Ltd
http://dbpedia.org/sparql,52.3667,4.89454,The Netherlands,Europe,Amsterdam,XS4ALL Internet BV
http://dbsnp.bio2rdf.org/sparql,50.8268,5.7116,The Netherlands,Europe,Maastricht,Universiteit Maastricht
http://dbtune.org/bbc/peel/sparql,51.6486,0.0495,United Kingdom,Europe,Loughton,"Queen Mary and Westfield College, University of London"
http://dbtune.org/classical/sparql,51.6486,0.0495,United Kingdom,Europe,Loughton,"Queen Mary and Westfield College, University of London"
http://dbtune.org/jamendo/sparql,51.6486,0.0495,United Kingdom,Europe,Loughton,"Queen Mary and Westfield College, University of London"
http://dbtune.org/magnatune/sparql,51.6486,0.0495,United Kingdom,Europe,Loughton,"Queen Mary and Westfield College, University of London"
http://dbtune.org/musicbrainz/sparql,51.6486,0.0495,United Kingdom,Europe,Loughton,"Queen Mary and Westfield College, University of London"
http://dbtune.org/myspace/sparql,51.6486,0.0495,United Kingdom,Europe,Loughton,"Queen Mary and Westfield College, University of London"
http://de.dbpedia.org/sparql,49.0917,8.42838,Germany,Europe,Eggenstein-Leopoldshafen,FIZ Karlsruhe - Leibniz Institute Information Infrastructure
http://demo.openlinksw.com/sparql,52.3676,4.90414,The Netherlands,Europe,Amsterdam,OpenLink Group Ltd
http://demo.spraakdata.gu.se/ltlod/test/,57.7065,11.967,Sweden,Europe,Gothenburg,Goteborgs universitet
